attribute,nfe,num_prompts_with_attribute,num_available,mean_delta,win_rate,min_delta,max_delta
camera_motion,10,1,0,,,,
camera_motion,20,1,0,,,,
camera_motion,30,1,0,,,,
camera_motion,40,1,0,,,,
high_texture,10,3,0,,,,
high_texture,20,3,0,,,,
high_texture,30,3,0,,,,
high_texture,40,3,0,,,,
indoor,10,6,0,,,,
indoor,20,6,0,,,,
indoor,30,6,0,,,,
indoor,40,6,0,,,,
lighting_heavy,10,4,0,,,,
lighting_heavy,20,4,0,,,,
lighting_heavy,30,4,0,,,,
lighting_heavy,40,4,0,,,,
object_motion,10,6,0,,,,
object_motion,20,6,0,,,,
object_motion,30,6,0,,,,
object_motion,40,6,0,,,,
outdoor,10,2,0,,,,
outdoor,20,2,0,,,,
outdoor,30,2,0,,,,
outdoor,40,2,0,,,,
subject_motion,10,2,0,,,,
subject_motion,20,2,0,,,,
subject_motion,30,2,0,,,,
subject_motion,40,2,0,,,,
temporal_challenge,10,5,0,,,,
temporal_challenge,20,5,0,,,,
temporal_challenge,30,5,0,,,,
temporal_challenge,40,5,0,,,,
